"Item","Fq","Concordance","Ventilation","Carte","Sélection"
"岁","32","","","",""
"所有","32","","","",""
"进行","32","","","",""
"款","32","","","",""
"相关","31","","","",""
"建议","31","","","",""
"同时","31","","","",""
"目","31","","","",""
"关注","31","","","",""
"文字","31","","","",""
"存储","31","","","",""
"月","30","","","",""
"写作","30","","","",""
"低","30","","","",""
"民族","30","","","",""
"影响","30","","","",""
"多少","30","","","",""
"希望","30","","","",""
"调查","30","","","",""
"显示","30","","","",""
"记","30","","","",""
"目标","30","","","",""
"美国","29","","","",""
"篇","29","","","",""
"任何","29","","","",""
"游戏","29","","","",""
"还有","29","","","",""
"找","29","","","",""
"纸质","29","","","",""
"「","28","","","",""
"那些","28","","","",""
"改变","28","","","",""
"当然","28","","","",""
"原因","28","","","",""
"质量","28","","","",""
"真正","28","","","",""
"大学","28","","","",""
"一起","28","","","",""
"有用","28","","","",""
"——","28","","","",""
"拥有","28","","","",""
"活动","28","","","",""
"产品","28","","","",""
"意义","28","","","",""
"方便","28","","","",""
"记忆","28","","","",""
"历史","27","","","",""
"日本","27","","","",""
"首先","27","","","",""
"观点","27","","","",""
"人均","27","","","",""
"良好","27","","","",""
"父母","26","","","",""
"形成","26","","","",""
"环境","26","","","",""
"虽然","26","","","",""
"思想","26","","","",""
"容易","26","","","",""
"第一","26","","","",""
"体验","26","","","",""
"电脑","26","","","",""
"根据","26","","","",""
"别人","26","","","",""
"帮助","26","","","",""
"文学","25","","","",""
"确实","25","","","",""
"情况","25","","","",""
"语言","25","","","",""
"字","25","","","",""
"无法","25","","","",""
"全部","25","","","",""
"儿童","25","","","",""
"许多","25","","","",""
"阶段","25","","","",""
"记住","25","","","",""
"例如","25","","","",""
"大学生","25","","","",""
"获取","24","","","",""
"每个","24","","","",""
"以上","24","","","",""
"之后","24","","","",""
"必须","24","","","",""
"然后","24","","","",""
"只要","23","","","",""
"数量","23","","","",""
"占","23","","","",""
"懂","23","","","",""
"玩","23","","","",""
"人类","23","","","",""
"提升","23","","","",""
"追求","23","","","",""
"发布","23","","","",""
"增加","23","","","",""
"答案","23","","","",""
"」","23","","","",""
"怎样","23","","","",""
"资源","22","","","",""
"休闲","22","","","",""
"只是","22","","","",""
"经验","22","","","",""
"方面","22","","","",""
"自然","22","","","",""
"发展","22","","","",""
"读者","22","","","",""
"资料","22","","","",""
"钱","22","","","",""
"够","22","","","",""
"表示","22","","","",""
"屏幕","22","","","",""
"经典","22","","","",""
"有效","22","","","",""
"解","22","","","",""
"直接","22","","","",""
"总结","22","","","",""
"效率","22","","","",""
"住","22","","","",""
"精神","21","","","",""
"这种","21","","","",""
"即使","21","","","",""
"主要","21","","","",""
"一下","21","","","",""
"娱乐","21","","","",""
"而是","21","","","",""
"丰富","21","","","",""
"赞同","21","","","",""
"编辑","21","","","",""
"忙","21","","","",""
"提供","21","","","",""
"注意力","21","","","",""
"设备","21","","","",""
"段","21","","","",""
"记者","21","","","",""
"展开","21","","","",""
"程度","20","","","",""
"并且","20","","","",""
"使用","20","","","",""
"空间","20","","","",""
"产生","20","","","",""
"作为","20","","","",""
"以后","20","","","",""
"坚持","20","","","",""
"掌握","20","","","",""
"健康","20","","","",""
"英寸","20","","","",""
"学校","19","","","",""
"适合","19","","","",""
"值得","19","","","",""
"免费","19","","","",""
"建立","19","","","",""
"考试","19","","","",""
"出版","19","","","",""
"四","19","","","",""
"道理","19","","","",""
"遍","19","","","",""
"得到","19","","","",""
"今天","19","","","",""
"感觉","19","","","",""
"障碍","19","","","",""
"更加","19","","","",""
"遇到","19","","","",""
"老蒋","19","","","",""
"微信","18","","","",""
"地铁","18","","","",""
"有人","18","","","",""
"乐趣","18","","","",""
"最后","18","","","",""
"完全","18","","","",""
"类似","18","","","",""
"可是","18","","","",""
"告诉","18","","","",""
"购买","18","","","",""
"关于","18","","","",""
"专注","18","","","",""
"访问","18","","","",""
"评论","18","","","",""
"马云","18","","","",""
"记录","18","","","",""
"电影","17","","","",""
"阅读率","17","","","",""
"大部分","17","","","",""
"读物","17","","","",""
"基本","17","","","",""
"之前","17","","","",""
"决定","17","","","",""
"一直","17","","","",""
"如此","17","","","",""
"放","17","","","",""
"回","17","","","",""
"网","17","","","",""
"水平","17","","","",""
"认识","17","","","",""
"往往","17","","","",""
"等等","17","","","",""
"第二","17","","","",""
"条","17","","","",""
"有趣","17","","","",""
"里面","17","","","",""
"自助","17","","","",""
"品牌","17","","","",""
"主动","17","","","",""
"必要","17","","","",""
"工具","16","","","",""
"压力","16","","","",""
"上网","16","","","",""
"其中","16","","","",""
"感受","16","","","",""
"经历","16","","","",""
"数据","16","","","",""
"看看","16","","","",""
"学者","16","","","",""
"新闻","16","","","",""
"教师","16","","","",""
"提到","16","","","",""
"完成","16","","","",""
"节奏","16","","","",""
"携带","16","","","",""
"研究","16","","","",""
"模式","16","","","",""
"保持","16","","","",""
"断","16","","","",""
"互联网","16","","","",""
"请","16","","","",""
"作品","16","","","",""
"下去","16","","","",""
"亲子","15","","","",""
"成长","15","","","",""
"网上","15","","","",""
"大多数","15","","","",""
"关系","15","","","",""
"其次","15","","","",""
"支持","15","","","",""
"大量","15","","","",""
"享受","15","","","",""
"因此","15","","","",""
"正是","15","","","",""
"快","15","","","",""
"年轻人","15","","","",""
"尤其","15","","","",""
"对话","15","","","",""
"变成","15","","","",""
"吃","15","","","",""
"精力","15","","","",""
"爱好","15","","","",""
"平均","15","","","",""
"目前","15","","","",""
"原","15","","","",""
"名著","15","","","",""
"随着","15","","","",""
"下载","15","","","",""
"超过","15","","","",""
"放松","15","","","",""
"第三","15","","","",""
"技能","15","","","",""
"技巧","15","","","",""
"曾经","15","","","",""
"书本","15","","","",""
"搜狐","15","","","",""
"之间","15","","","",""
"部分","15","","","",""
"东","15","","","",""
"行动","15","","","",""
"青少年","15","","","",""
"书单","14","","","",""
"十","14","","","",""
"庭","14","","","",""
"实体","14","","","",""
"自由","14","","","",""
"说明","14","","","",""
"心理","14","","","",""
"还要","14","","","",""
"比例","14","","","",""
"本身","14","","","",""
"注意","14","","","",""
"参与","14","","","",""
"麻将","14","","","",""
"管理","14","","","",""
"智慧","14","","","",""
"花","14","","","",""
"达到","14","","","",""
"强","14","","","",""
"源","14","","","",""
"用户","14","","","",""
"睡","14","","","",""
"赞","14","","","",""
"明白","14","","","",""
"根本","14","","","",""
"平时","14","","","",""
"重要性","14","","","",""
"帮忙","14","","","",""
"实践","13","","","",""
"手","13","","","",""
"差","13","","","",""
"至少","13","","","",""
"满足","13","","","",""
"捧","13","","","",""
"行","13","","","",""
"日常","13","","","",""
"要求","13","","","",""
"当中","13","","","",""
"半","13","","","",""
"聊天","13","","","",""
"办公","13","","","",""
"氛围","13","","","",""
"书店","13","","","",""
"印象","13","","","",""
"创造","13","","","",""
"出现","13","","","",""
"结果","13","","","",""
"有所","13","","","",""
"专业","13","","","",""
"图","13","","","",""
"本书","13","","","",""
"智能","13","","","",""
"特别","13","","","",""
"逻辑","13","","","",""
"体系","13","","","",""
"同学","13","","","",""
"心","13","","","",""
"标题","13","","","",""
"本事","13","","","",""
"寸","13","","","",""
"英文","13","","","",""
"沟通","12","","","",""
"科学","12","","","",""
"相比","12","","","",""
"那个","12","","","",""
"现实","12","","","",""
"关键","12","","","",""
"因素","12","","","",""
"选","12","","","",""
"之所以","12","","","",""
"复杂","12","","","",""
"深度","12","","","",""
"鼓励","12","","","",""
"讨论","12","","","",""
"从小","12","","","",""
"智商","12","","","",""
"几乎","12","","","",""
"现象","12","","","",""
"整理","12","","","",""
"话题","12","","","",""
"肯定","12","","","",""
"形式","12","","","",""
"每年","12","","","",""
"评","12","","","",""
"全国","12","","","",""
"具有","12","","","",""
"最近","12","","","",""
"之一","12","","","",""
"计划","12","","","",""
"需求","12","","","",""
"表现","12","","","",""
"那样","12","","","",""
"眼界","12","","","",""
"开阔","12","","","",""
"认真","12","","","",""
"登录","12","","","",""
"注册","12","","","",""
"块","12","","","",""
"认知","12","","","",""
"久","12","","","",""
"踩","12","","","",""
"纸书","12","","","",""
"谈","12","","","",""
"比如说","12","","","",""
"简单","12","","","",""
"有限","12","","","",""
"笑","12","","","",""
"图片","12","","","",""
"平台","12","","","",""
"感","12","","","",""
"慢慢","12","","","",""
"责任","12","","","",""
"妈妈","12","","","",""
"背景","12","","","",""
"主题","12","","","",""
"老人","12","","","",""
"电纸","12","","","",""
"京","12","","","",""
"答题","12","","","",""
"北方","12","","","",""
"胡子","12","","","",""
"查看","11","","","",""
"每次","11","","","",""
"日","11","","","",""
"睡觉","11","","","",""
"应试","11","","","",""
"手段","11","","","",""
"整个","11","","","",""
"累","11","","","",""
"公共","11","","","",""
"只能","11","","","",""
"接触","11","","","",""
"我国","11","","","",""
"接受","11","","","",""
"收获","11","","","",""
"分类","11","","","",""
"快乐","11","","","",""
"总是","11","","","",""
"一点","11","","","",""
"介绍","11","","","",""
"持续","11","","","",""
"近","11","","","",""
"足","11","","","",""
"这里","11","","","",""
"到底","11","","","",""
"导致","11","","","",""
"第四","11","","","",""
"缺乏","11","","","",""
"想法","11","","","",""
"减少","11","","","",""
"左右","11","","","",""
"重视","11","","","",""
"启发","11","","","",""
"名","11","","","",""
"包括","11","","","",""
"动","11","","","",""
"社交","11","","","",""
"平板","11","","","",""
"文件","11","","","",""
"正确","11","","","",""
"眼睛","11","","","",""
"格式","11","","","",""
"翻","11","","","",""
"挑选","11","","","",""
"学会","11","","","",""
"尺寸","11","","","",""
"静","11","","","",""
"自身","11","","","",""
"有什","11","","","",""
"五","11","","","",""
"语文","11","","","",""
"交流","11","","","",""
"采用","11","","","",""
"练习","11","","","",""
"刺激","11","","","",""
"引导","11","","","",""
"心灵","11","","","",""
"表达","11","","","",""
"报告","11","","","",""
"成年","11","","","",""
"增长","11","","","",""
"掌阅","11","","","",""
"必","10","","","",""
"坐","10","","","",""
"以前","10","","","",""
"在于","10","","","",""
"休息","10","","","",""
"差距","10","","","",""
"实际上","10","","","",""
"人口","10","","","",""
"基本上","10","","","",""
"报纸","10","","","",""
"它们","10","","","",""
"北京","10","","","",""
"未","10","","","",""
"以色列","10","","","",""
"力量","10","","","",""
"所谓","10","","","",""
"仅仅","10","","","",""
"好像","10","","","",""
"本人","10","","","",""
"一切","10","","","",""
"技术","10","","","",""
"效果","10","","","",""
"从而","10","","","",""
"软件","10","","","",""
"服务","10","","","",""
"体会","10","","","",""
"视野","10","","","",""
"行为","10","","","",""
"调整","10","","","",""
"帮","10","","","",""
"面试","10","","","",""
"时代","10","","","",""
"停","10","","","",""
"课程","10","","","",""
"动漫","10","","","",""
"位置","10","","","",""
"爱上","10","","","",""
"空","10","","","",""
"大人","10","","","",""
"视","10","","","",""
"态度","10","","","",""
"深入","10","","","",""
"浮躁","10","","","",""
"宿舍","10","","","",""
"动力","10","","","",""
"结构","10","","","",""
"单纯","10","","","",""
"小米","10","","","",""
"墨","10","","","",""
"超","10","","","",""
"小学","9","","","",""
"导图","9","","","",""
"独立","9","","","",""
"设计","9","","","",""
"经济","9","","","",""
"竞争","9","","","",""
"课外","9","","","",""
"普通","9","","","",""
"就是说","9","","","",""
"基础","9","","","",""
"课堂","9","","","",""
"安静","9","","","",""
"格","9","","","",""
"似乎","9","","","",""
"速度","9","","","",""
"张","9","","","",""
"阅","9","","","",""
"麻将馆","9","","","",""
"公务员","9","","","",""
"专","9","","","",""
"错","9","","","",""
"美好","9","","","",""
"深","9","","","",""
"识字","9","","","",""
"然而","9","","","",""
"郑义","9","","","",""
"巨大","9","","","",""
"专门","9","","","",""
"文","9","","","",""
"正在","9","","","",""
"有助于","9","","","",""
"切换","9","","","",""
"厚度","9","","","",""
"只有","9","","","",""
"状态","9","","","",""
"身体","9","","","",""
"困难","9","","","",""
"搞","9","","","",""
"数字","9","","","",""
"同一","9","","","",""
"互动","9","","","",""
"增强","9","","","",""
"清楚","9","","","",""
"同样","9","","","",""
"固定","9","","","",""
"答","9","","","",""
"或许","9","","","",""
"而言","9","","","",""
"路","9","","","",""
"今日","9","","","",""
"热点","9","","","",""
"充满","9","","","",""
"常见","9","","","",""
"书香","9","","","",""
"机会","9","","","",""
"年龄","9","","","",""
"改善","9","","","",""
"优雅","9","","","",""
"高效","9","","","",""
"毕竟","9","","","",""
"水屏","9","","","",""
"百度","9","","","",""
"教","8","","","",""
"台","8","","","",""
"统计","8","","","",""
"核心","8","","","",""
"情绪","8","","","",""
"愿意","8","","","",""
"浪费","8","","","",""
"装","8","","","",""
"周围","8","","","",""
"正常","8","","","",""
"素质","8","","","",""
"读书人","8","","","",""
"现代","8","","","",""
"由于","8","","","",""
"挺","8","","","",""
"人群","8","","","",""
"藏书","8","","","",""
"掉","8","","","",""
"记得","8","","","",""
"一生","8","","","",""
"传统","8","","","",""
"灵魂","8","","","",""
"充电","8","","","",""
"进步","8","","","",""
"偏","8","","","",""
"吸引","8","","","",""
"犹太人","8","","","",""
"下降","8","","","",""
"名人","8","","","",""
"有关","8","","","",""
"国人","8","","","",""
"意识","8","","","",""
"青年","8","","","",""
"定义","8","","","",""
"利用","8","","","",""
"之外","8","","","",""
"情感","8","","","",""
"打发","8","","","",""
"具体","8","","","",""
"修养","8","","","",""
"综合","8","","","",""
"作业","8","","","",""
"成绩","8","","","",""
"关注者","8","","","",""
"意味着","8","","","",""
"锻炼","8","","","",""
"诱惑","8","","","",""
"最终","8","","","",""
"项","8","","","",""
"于是","8","","","",""
"存在","8","","","",""
"控制","8","","","",""
"此外","8","","","",""
"单词","8","","","",""
"通常","8","","","",""
"永远","8","","","",""
"做到","8","","","",""
"本质","8","","","",""
"作用","8","","","",""
"当前","8","","","",""
"搜索","8","","","",""
"继续","8","","","",""
"分析","8","","","",""
"市民","8","","","",""
"元","8","","","",""
"下面","8","","","",""
"进入","8","","","",""
"跟着","8","","","",""
"积累","8","","","",""
"满意","8","","","",""
"欲望","8","","","",""
"变化","8","","","",""
"男孩","8","","","",""
"尝试","8","","","",""
"无用","8","","","",""
"九","8","","","",""
"时期","8","","","",""
"多久","8","","","",""
"早期","8","","","",""
"教学","8","","","",""
"宝宝","8","","","",""
"共同","8","","","",""
"相信","8","","","",""
"仔细","8","","","",""
"热爱","8","","","",""
"读书日","8","","","",""
"供","8","","","",""
"短视","8","","","",""
"静心","8","","","",""
"内心","8","","","",""
"活","8","","","",""
"级","8","","","",""
"记忆力","8","","","",""
"每月","8","","","",""
"任务","8","","","",""
"墨水屏","8","","","",""
"科","8","","","",""
"即便","8","","","",""
"￥","8","","","",""
"纸","8","","","",""
"安排","8","","","",""
"老一辈","8","","","",""
"职场","8","","","",""
"","8","","","",""
"究竟","7","","","",""
"知乎","7","","","",""
"提问","7","","","",""
"视频","7","","","",""
"尽管","7","","","",""
"观察","7","","","",""
"公司","7","","","",""
"整天","7","","","",""
"缺少","7","","","",""
"理由","7","","","",""
"重","7","","","",""
"途径","7","","","",""
"命运","7","","","",""
"造成","7","","","",""
"阶层","7","","","",""
"干","7","","","",""
"寻找","7","","","",""
"人物","7","","","",""
"规划","7","","","",""
"陪伴","7","","","",""
"远","7","","","",""
"微博","7","","","",""
"心里","7","","","",""
"发达国","7","","","",""
"为主","7","","","",""
"匈牙利","7","","","",""
"十分","7","","","",""
"每人","7","","","",""
"无论","7","","","",""
"文明","7","","","",""
"指出","7","","","",""
"研究院","7","","","",""
"早","7","","","",""
"受到","7","","","",""
"营造","7","","","",""
"欢迎","7","","","",""
"功利","7","","","",""
"当成","7","","","",""
"实际","7","","","",""
"过去","7","","","",""
"意愿","7","","","",""
"心境","7","","","",""
"音乐","7","","","",""
"欣赏","7","","","",""
"充实","7","","","",""
"方向","7","","","",""
"年轻","7","","","",""
"大概","7","","","",""
"取得","7","","","",""
"脑子","7","","","",""
"返回","7","","","",""
"晚上","7","","","",""
"浏览","7","","","",""
"考虑","7","","","",""
"便宜","7","","","",""
"心理学","7","","","",""
"收藏","7","","","",""
"运用","7","","","",""
"一旦","7","","","",""
"以下","7","","","",""
"赚钱","7","","","",""
"章节","7","","","",""
"功利性","7","","","",""
"马上","7","","","",""
"摄","7","","","",""
"发生","7","","","",""
"提出","7","","","",""
"网友","7","","","",""
"情节","7","","","",""
"满","7","","","",""
"事物","7","","","",""
"声明","7","","","",""
"时光","7","","","",""
"组","7","","","",""
"上学","7","","","",""
"吸收","7","","","",""
"理论","7","","","",""
"听到","7","","","",""
"星座","7","","","",""
"系","7","","","",""
"更为","7","","","",""
"应","7","","","",""
"大大","7","","","",""
"指导","7","","","",""
"感悟","7","","","",""
"感到","7","","","",""
"婴儿","7","","","",""
"中学生","7","","","",""
"自律","7","","","",""
"毕业","7","","","",""
"频","7","","","",""
"强迫","7","","","",""
"推出","7","","","",""
"转化","7","","","",""
"内存","7","","","",""
"见识","7","","","",""
"参考","7","","","",""
"前面","7","","","",""
"显示屏","7","","","",""
"代表","7","","","",""
"笔记本","7","","","",""
"算是","7","","","",""
"老年人","7","","","",""
"先生","7","","","",""
"¶","7","","","",""
"设定","7","","","",""
"注会","7","","","",""
"为何","6","","","",""
"育儿","6","","","",""
"飞机","6","","","",""
"例子","6","","","",""
"动机","6","","","",""
"消磨","6","","","",""
"失去","6","","","",""
"火车","6","","","",""
"一方面","6","","","",""
"发","6","","","",""
"有点","6","","","",""
"办法","6","","","",""
"长大","6","","","",""
"主流","6","","","",""
"求","6","","","",""
"生","6","","","",""
"脑海","6","","","",""
"咖啡","6","","","",""
"忙碌","6","","","",""
"身边","6","","","",""
"流行","6","","","",""
"另外","6","","","",""
"碎片","6","","","",""
"取代","6","","","",""
"显得","6","","","",""
"付出","6","","","",""
"韩国","6","","","",""
"几十","6","","","",""
"部门","6","","","",""
"应付","6","","","",""
"素养","6","","","",""
"普及","6","","","",""
"上述","6","","","",""
"高中","6","","","",""
"版","6","","","",""
"旅行","6","","","",""
"典型","6","","","",""
"母亲","6","","","",""
"唯一","6","","","",""
"财富","6","","","",""
"短","6","","","",""
"领域","6","","","",""
"正文","6","","","",""
"更新","6","","","",""
"提","6","","","",""
"退休","6","","","",""
"医生","6","","","",""
"开拓","6","","","",""
"中共","6","","","",""
"套","6","","","",""
"明显","6","","","",""
"按照","6","","","",""
"幸福","6","","","",""
"网易","6","","","",""
"约","6","","","",""
"事实","6","","","",""
"广告","6","","","",""
"刚","6","","","",""
"正好","6","","","",""
"重点","6","","","",""
"保证","6","","","",""
"优势","6","","","",""
"朗读","6","","","",""
"身上","6","","","",""
"优点","6","","","",""
"该怎","6","","","",""
"拉","6","","","",""
"准备","6","","","",""
"事儿","6","","","",""
"成年人","6","","","",""
"成本","6","","","",""
"而已","6","","","",""
"忘","6","","","",""
"批注","6","","","",""
"想想","6","","","",""
"系统","6","","","",""
"依然","6","","","",""
"快速","6","","","",""
"相对","6","","","",""
"意思","6","","","",""
"借阅","6","","","",""
"杂志","6","","","",""
"分别","6","","","",""
"册","6","","","",""
"抱怨","6","","","",""
"抽出","6","","","",""
"碎片化","6","","","",""
"本文","6","","","",""
"摆脱","6","","","",""
"短期","6","","","",""
"所在","6","","","",""
"劝","6","","","",""
"课","6","","","",""
"八","6","","","",""
"加强","6","","","",""
"母婴","6","","","",""
"军事","6","","","",""
"美食","6","","","",""
"专题","6","","","",""
"宠物","6","","","",""
"死记硬背","6","","","",""
"该文","6","","","",""
"代表作者","6","","","",""
"搜狐号","6","","","",""
"小编","6","","","",""
"角度","6","","","",""
"喜爱","6","","","",""
"批判性","6","","","",""
"脑","6","","","",""
"训练","6","","","",""
"常识","6","","","",""
"优秀","6","","","",""
"激发","6","","","",""
"心得","6","","","",""
"明确","6","","","",""
"人士","6","","","",""
"刷手机","6","","","",""
"高校","6","","","",""
"出去","6","","","",""
"底子","6","","","",""
"词","6","","","",""
"作文","6","","","",""
"想象","6","","","",""
"最佳","6","","","",""
"词汇量","6","","","",""
"科技","6","","","",""
"集中","6","","","",""
"平静","6","","","",""
"区别","6","","","",""
"思","6","","","",""
"好好","6","","","",""
"京东","6","","","",""
"文石","6","","","",""
"大讯","6","","","",""
"舒服","6","","","",""
"上面","6","","","",""
"语音","6","","","",""
"墨水","6","","","",""
"屏电","6","","","",""
"识别","6","","","",""
"篮子","6","","","",""
"青年网","6","","","",""
"大二","6","","","",""
"武侠小说","6","","","",""
"有空","6","","","",""
"好奇","5","","","",""
"七","5","","","",""
"情商","5","","","",""
"精品","5","","","",""
"销售量","5","","","",""
"美","5","","","",""
"年代","5","","","",""
"离开","5","","","",""
"教科书","5","","","",""
"汽车","5","","","",""
"实在","5","","","",""
"面前","5","","","",""
"结论","5","","","",""
"好读书","5","","","",""
"差异","5","","","",""
"层面","5","","","",""
"属于","5","","","",""
"那种","5","","","",""
"密度","5","","","",""
"加上","5","","","",""
"年级","5","","","",""
"整体","5","","","",""
"相当","5","","","",""
"从中","5","","","",""
"睡眠","5","","","",""
"杯","5","","","",""
"份","5","","","",""
"笔","5","","","",""
"法国","5","","","",""
"等待","5","","","",""
"完整","5","","","",""
"生命","5","","","",""
"当下","5","","","",""
"寂寞","5","","","",""
"重新","5","","","",""
"媒体","5","","","",""
"报道","5","","","",""
"％","5","","","",""
"浓缩","5","","","",""
"查阅","5","","","",""
"自从","5","","","",""
"海量","5","","","",""
"反而","5","","","",""
"办公室","5","","","",""
"论文","5","","","",""
"日益","5","","","",""
"义务教育","5","","","",""
"大前研","5","","","",""
"著作","5","","","",""
"小孩","5","","","",""
"商业","5","","","",""
"或是","5","","","",""
"著名","5","","","",""
"对比","5","","","",""
"六","5","","","",""
"量","5","","","",""
"认同","5","","","",""
"生意","5","","","",""
"限制","5","","","",""
"了解","5","","","",""
"艺术","5","","","",""
"全面","5","","","",""
"求知","5","","","",""
"用心","5","","","",""
"层次","5","","","",""
"多年","5","","","",""
"理想","5","","","",""
"入","5","","","",""
"如今","5","","","",""
"引起","5","","","",""
"仍然","5","","","",""
"生动","5","","","",""
"躺","5","","","",""
"动作","5","","","",""
"努力","5","","","",""
"随便","5","","","",""
"轻松","5","","","",""
"干扰","5","","","",""
"联系","5","","","",""
"图像","5","","","",""
"专用","5","","","",""
"无论是","5","","","",""
"事实上","5","","","",""
"视觉","5","","","",""
"纸张","5","","","",""
"手里","5","","","",""
"有利于","5","","","",""
"画","5","","","",""
"陶冶","5","","","",""
"应用","5","","","",""
"精华","5","","","",""
"提倡","5","","","",""
"中新社","5","","","",""
"跑","5","","","",""
"副","5","","","",""
"针对","5","","","",""
"场景","5","","","",""
"添加","5","","","",""
"题","5","","","",""
"标准","5","","","",""
"读后感","5","","","",""
"大约","5","","","",""
"痛苦","5","","","",""
"反馈","5","","","",""
"阅历","5","","","",""
"反复","5","","","",""
"迷茫","5","","","",""
"浅","5","","","",""
"打开","5","","","",""
"读出","5","","","",""
"声音","5","","","",""
"背","5","","","",""
"充分","5","","","",""
"百科","5","","","",""
"有益","5","","","",""
"□","5","","","",""
"成就","5","","","",""
"角色","5","","","",""
"样子","5","","","",""
"每日","5","","","",""
"特点","5","","","",""
"看出","5","","","",""
"久而久之","5","","","",""
"纠正","5","","","",""
"投入","5","","","",""
"构成","5","","","",""
"加深","5","","","",""
"由此","5","","","",""
"全文","5","","","",""
"画面","5","","","",""
"现代人","5","","","",""
"心态","5","","","",""
"如同","5","","","",""
"有时候","5","","","",""
"随身","5","","","",""
"头脑","5","","","",""
"绝","5","","","",""
"观","5","","","",""
"气质","5","","","",""
"等于","5","","","",""
"很快","5","","","",""
"强大","5","","","",""
"迅速","5","","","",""
"古人","5","","","",""
"深刻","5","","","",""
"沉浸","5","","","",""
"转移","5","","","",""
"处理","5","","","",""
"同事","5","","","",""
"倍","5","","","",""
"重建","5","","","",""
"感想","5","","","",""
"收集","5","","","",""
"回想","5","","","",""
"流程","5","","","",""
"排行榜","5","","","",""
"配置","5","","","",""
"高清","5","","","",""
"看法","5","","","",""
"颜值","5","","","",""
"分辨率","5","","","",""
"款式","5","","","",""
"机身","5","","","",""
"安卓","5","","","",""
"一部分","5","","","",""
"老","5","","","",""
"积极","5","","","",""
"爷爷","5","","","",""
"正式","5","","","",""
"博客","5","","","",""
"魏晋寒","5","","","",""
"女人","5","","","",""
"输入","5","","","",""
"成人","5","","","",""
"材料","5","","","",""
"列表","5","","","",""
"概括","5","","","",""
"动笔","5","","","",""
"心思","5","","","",""
"尹建莉","5","","","",""
"新知","4","","","",""
"调研","4","","","",""
"张华","4","","","",""
"即可","4","","","",""
"动画片","4","","","",""
"想象力","4","","","",""
"教授","4","","","",""
"常常","4","","","",""
